"","offenseTeam","lypt_perc","lyrt_perc"
"1","Air Force",0.301869606903164,0.698130393096836
"2","Akron",0.492753623188406,0.507246376811594
"3","Alabama",0.383549504491989,0.616450495508011
"4","Alabama A&M",0.543859649122807,0.456140350877193
"5","Appalachian St",0.585714285714286,0.414285714285714
"6","Arizona",0.41639822595705,0.583601774042951
"7","Arizona State",0.466268213804379,0.533731786195621
"8","Arkansas",0.4319403714565,0.5680596285435
"9","Arkansas State",0.28345635368761,0.71654364631239
"10","Army",0.210526315789474,0.789473684210526
"11","Auburn",0.17988940978483,0.82011059021517
"12","BYU",0.478114478114478,0.521885521885522
"13","Ball State",0.45912731289699,0.54087268710301
"14","Baylor",0.376320726770021,0.623679273229979
"15","Boise State",0.453549517966696,0.546450482033304
"16","Boston College",0.351238204330988,0.648761795669012
"17","Bowling Green",0.41211125876774,0.58788874123226
"18","Buffalo",0.472370757046825,0.527629242953175
"19","Cal",0.581340708607802,0.418659291392198
"20","Campbell",0.397260273972603,0.602739726027397
"21","Cent Michigan",0.504210349037935,0.495789650962065
"22","Chattanooga",0.306122448979592,0.693877551020408
"23","Cincinnati",0.501847116937057,0.498152883062943
"24","Clemson",0.464372610358012,0.535627389641988
"25","Coast Carolina",0.573770491803279,0.426229508196721
"26","Colorado",0.434080723615893,0.565919276384107
"27","Colorado State",0.420778047783919,0.579221952216081
"28","Duke",0.46704962178108,0.53295037821892
"29","E Michigan",0.351851851851852,0.648148148148148
"30","ECU",0.535258042610984,0.464741957389016
"31","FAU",0.200653194529496,0.799346805470504
"32","FIU",0.401804683038264,0.598195316961736
"33","FSU",0.568984236503418,0.431015763496582
"34","Florida",0.512398302531137,0.487601697468863
"35","Fresno State",0.535274621212121,0.464725378787879
"36","Ga Southern",0.0526315789473684,0.947368421052632
"37","Georgia",0.602595660176305,0.397404339823695
"38","Georgia State",0.537424242424242,0.462575757575758
"39","Georgia Tech",0.314620535714286,0.685379464285714
"40","Hawai'i",0.468757403458896,0.531242596541104
"41","Houston",0.618191970596551,0.381808029403449
"42","Idaho",0.494295469686875,0.505704530313125
"43","Idaho State",0.616071428571429,0.383928571428571
"44","Illinois",0.617999189974231,0.382000810025769
"45","Indiana",0.463847695015541,0.536152304984459
"46","Iowa",0.317682317682318,0.682317682317682
"47","Iowa State",0.495225464190981,0.504774535809019
"48","Kansas",0.311970775643545,0.688029224356455
"49","Kansas State",0.316436035492041,0.683563964507959
"50","Kent State",0.360328638497653,0.639671361502347
"51","Kentucky",0.40038665038665,0.59961334961335
"52","LA Tech",0.473499999296055,0.526500000703945
"53","LSU",0.402,0.598
"54","Louisiana",0.254824151882975,0.745175848117025
"55","Louisville",0.529356771157245,0.470643228842755
"56","Marshall",0.472901170636789,0.527098829363211
"57","Maryland",0.519561994240224,0.480438005759776
"58","Memphis",0.355646364927802,0.644353635072198
"59","Miami",0.594686956265298,0.405313043734702
"60","Miami (OH)",0.390930251720018,0.609069748279982
"61","Michigan",0.505144863700876,0.494855136299124
"62","Michigan State",0.401556776556777,0.598443223443223
"63","Mid Tennessee",0.364250614250614,0.635749385749386
"64","Minnesota",0.375292740046838,0.624707259953162
"65","Miss St",0.501583504215083,0.498416495784917
"66","Missouri",0.44438682914182,0.55561317085818
"67","N Illinois",0.416241496598639,0.583758503401361
"68","NC State",0.494783474644561,0.505216525355439
"69","Navy",0.162658869810577,0.837341130189423
"70","Nebraska",0.40803506067261,0.59196493932739
"71","Nevada",0.542058477813694,0.457941522186306
"72","New Mexico",0.139567314940449,0.860432685059551
"73","New Mexico St",0.609803921568628,0.390196078431373
"74","North Texas",0.44471308833011,0.55528691166989
"75","Northwestern",0.463844136380667,0.536155863619333
"76","Notre Dame",0.552277432712215,0.447722567287785
"77","OSU",0.397775542141739,0.602224457858261
"78","Ohio",0.551348767572316,0.448651232427684
"79","Oklahoma",0.441992674686622,0.558007325313378
"80","Oklahoma State",0.488836603540872,0.511163396459128
"81","Old Dominion",0.653552330022918,0.346447669977082
"82","Ole Miss",0.461678172255095,0.538321827744905
"83","Oregon",0.564111854329246,0.435888145670754
"84","Oregon State",0.665670280676867,0.334329719323133
"85","Penn State",0.376217277203028,0.623782722796972
"86","Pitt",0.509612403100775,0.490387596899225
"87","Purdue",0.593930648726819,0.406069351273181
"88","Rice",0.25959595959596,0.74040404040404
"89","Rutgers",0.658234126984127,0.341765873015873
"90","SMU",0.707520431013824,0.292479568986175
"91","San Diego State",0.482502619209424,0.517497380790576
"92","San Jose State",0.650096075751273,0.349903924248727
"93","South Alabama",0.511711125569291,0.488288874430709
"94","South Carolina",0.437841530054645,0.562158469945355
"95","Southern Miss",0.688252443130492,0.311747556869508
"96","Stanford",0.262966598483628,0.737033401516372
"97","Syracuse",0.374868621704065,0.625131378295935
"98","TCU",0.503718199608611,0.496281800391389
"99","Temple",0.66958041958042,0.33041958041958
"100","Tennessee",0.363812544045102,0.636187455954898
"101","Texas",0.538286679223225,0.461713320776775
"102","Texas A&M",0.606764705882353,0.393235294117647
"103","Texas State",0.506211180124224,0.493788819875776
"104","Texas Tech",0.684981684981685,0.315018315018315
"105","The Citadel",0.0806451612903226,0.919354838709677
"106","Toledo",0.315270935960591,0.684729064039409
"107","Troy",0.569227005870842,0.430772994129158
"108","Tulane",0.509103641456583,0.490896358543417
"109","Tulsa",0.484906037584966,0.515093962415034
"110","UAB",0.346626463358747,0.653373536641253
"111","UCF",0.423442705228091,0.576557294771909
"112","UCLA",0.358892412396398,0.641107587603602
"113","UConn",0.557505322235678,0.442494677764323
"114","UL Monroe",0.571428571428571,0.428571428571429
"115","UMass",0.381760339342524,0.618239660657476
"116","UNC",0.446727052058774,0.553272947941226
"117","UNLV",0.439873417721519,0.560126582278481
"118","USC",0.48707671957672,0.51292328042328
"119","USF",0.577910238429173,0.422089761570828
"120","UT Martin",0.344262295081967,0.655737704918033
"121","UTEP",0.314795495943037,0.685204504056963
"122","UTSA",0.526256613756614,0.473743386243386
"123","UVA",0.530514705882353,0.469485294117647
"124","Utah",0.392452763113457,0.607547236886543
"125","Utah State",0.383242127926796,0.616757872073204
"126","VT",0.420653540008379,0.579346459991621
"127","Vanderbilt",0.315867003367003,0.684132996632997
"128","W Kentucky",0.407497565725414,0.592502434274586
"129","W Michigan",0.537687145069695,0.462312854930305
"130","Wake Forest",0.400036909448819,0.599963090551181
"131","Washington",0.41088564692013,0.58911435307987
"132","Washington St",0.735786311950225,0.264213688049775
"133","West Virginia",0.505054025792959,0.494945974207041
"134","Wisconsin",0.367579493758092,0.632420506241908
"135","Wyoming",0.538342609771181,0.461657390228819
